unique_id,year,team,games,o_pts_pg,o_ty_pg,o_py,o_ry,o_fd_g,o_3rdm,o_3rdpct,o_4thm,o_4thpct,o_pen,o_penyds,o_top,d_pts_pg,d_ty_pg,d_py,d_ry,d_int,d_inttd,stp_n,stp_avg,str_pr,str_pr_yds,str_pr_avg,str_kr,str_kr_yds,str_kr_avg
2011_Southern Miss,2011,Southern Miss,13,37.8,471,263.2307692,207.7692308,23.8,84,43.5,9,60,7.769230769,66.07692308,0.826923077,21.1,345.3,232.6923077,112.6153846,1.384615385,0.615384615,3.692307692,43.6,2.461538462,33.46153846,13.6,3.769230769,83.30769231,22.1
2011_Colorado St.,2011,Colorado St.,12,21.4,351.4,184.5833333,166.8333333,18.3,56,34.1,11,42.3,6.833333333,60.75,0.826388889,31.3,413.3,179.5833333,233.6666667,0.666666667,0.166666667,4.75,43.6,2,20.66666667,10.3,4.333333333,104.25,24.1
2011_North Texas,2011,North Texas,12,24.8,341.8,189.3333333,152.4166667,17.8,70,37.8,8,42.1,5,41.41666667,1.343055556,30.7,429.3,265.8333333,163.5,0.75,0.166666667,6.166666667,43.5,1.333333333,5.75,4.3,5.583333333,102.3333333,18.3
2011_LSU,2011,LSU,13,38.5,375.3,160.1538462,215.1538462,20.3,74,46.8,4,80,6.230769231,50.07692308,0.882051282,10.5,252.1,166.6153846,85.46153846,1.384615385,0.230769231,4.384615385,43.5,2.923076923,40.23076923,13.8,2.538461538,54,21.3
2011_San Diego St.,2011,San Diego St.,12,29.8,422.9,228.75,194.1666667,21,81,44.3,9,40.9,4.666666667,42,0.431944444,24.4,376.5,199.1666667,177.3333333,1.166666667,0,4.75,43.4,1.833333333,9.583333333,5.2,4.416666667,87.83333333,19.9
2011_Rice,2011,Rice,12,23.3,347.7,196.75,150.9166667,18.2,70,36.6,4,28.6,4.75,38.41666667,0.804166667,33.3,462.1,278.6666667,183.4166667,1.083333333,0.083333333,6.666666667,43.2,2,17.91666667,9,4.083333333,79.25,19.4
2011_Utah,2011,Utah,12,24.6,308.7,171.5833333,137.0833333,16.6,55,34.4,7,50,5.833333333,54.33333333,0.716666667,19.7,344.1,245.8333333,98.25,1.583333333,0.166666667,5.166666667,43,2.583333333,21.41666667,8.3,3.166666667,69.25,21.9
2011_San Jose St.,2011,San Jose St.,12,24.5,378.7,276.8333333,101.8333333,19.4,69,39.4,3,30,3.333333333,31.5,0.9625,30.3,425.7,221.3333333,204.3333333,1.083333333,0,4.333333333,42.8,0.666666667,5.25,7.9,5.166666667,112.6666667,21.8
2011_Kent St.,2011,Kent St.,12,17.1,253.5,145.4166667,108.0833333,13.6,54,28.4,3,15,6.333333333,63.66666667,0.891666667,24.3,324.6,196.3333333,128.25,1.166666667,0,6.916666667,42.8,1.833333333,12.08333333,6.6,4.416666667,88.75,20.1
2011_Kansas,2011,Kansas,12,22.3,326.8,167.4166667,159.4166667,19,73,38.8,16,61.5,5.75,45.91666667,1.1625,43.8,516.4,277.3333333,239.0833333,0.666666667,0.083333333,5.333333333,42.8,1,7.916666667,7.9,6.083333333,118.8333333,19.5
