year,sos_rank,team,sos
2011,53,Miami (FL),26.1
2011,54,Wake Forest,25.9
2011,55,West Virginia,25.8
2011,56,North Carolina,25.8
2011,57,Duke,25.5
2011,58,Pittsburgh,25.5
2011,59,Louisville,25.5
2011,60,Purdue,25.3
2011,61,N.C. State,25.3
2011,62,Syracuse,24.6
2011,63,Virginia,24.6
2011,64,Cincinnati,24.5
2011,65,South Florida,24.4
2011,66,Connecticut,24.4
2011,67,TCU,23.8
2011,68,Tulsa,23.6
2011,69,Rutgers,23.4
2011,70,Southern Miss,22.8
2011,71,Houston,22.7
2011,72,Army,22.6
2011,73,Louisiana Tech,22.4
2011,74,BYU,22.2
2011,75,Idaho,22
2011,76,Boise St.,21.6
2011,77,Ball St.,21.4
2011,78,Wyoming,21.3
2011,79,Toledo,21.3
2011,80,Navy,21
2011,81,Fresno St.,20.9
2011,82,W. Michigan,20.6
2011,83,New Mexico St.,20.6
2011,84,UCF,20.5
2011,85,SMU,20.4
2011,86,Nevada,20.3
2011,87,San Jose St.,20.3
2011,88,Northern Illinois,20.1
2011,89,LA Lafayette,20.1
2011,90,Bowling Green,19.8
2011,91,West. Kentucky,19.7
2011,92,Miami (OH),19.7
2011,93,Utah St.,19.5
2011,94,East Carolina,19.4
2011,95,Marshall,19.3
2011,96,Texas-El Paso,19.1
2011,97,Rice,19.1
2011,98,UNLV,18.9
2011,99,Colorado St.,18.8
2011,100,San Diego St.,18.7
2011,101,Cent. Michigan,18.7
2011,102,New Mexico,18.4
2011,103,Ohio,18.3
2011,104,East. Michigan,18.3
2011,105,Air Force,17.6
2011,106,Temple,17.5
2011,107,Middle Tenn. St.,17.2
2011,108,Akron,17.2
2011,109,Hawaii,17.1
2011,110,LA Monroe,17
2011,111,Tulane,17
2011,112,Kent St.,16.7
2011,113,Florida Intl.,16.4
2011,114,Troy,16.4
2011,115,North Texas,16.2
2011,116,UAB,16
2011,117,Buffalo,15.7
2011,118,Memphis,15.6
2011,119,Florida Atlantic,15
2011,120,Arkansas St.,15
